OMIM ID,Disease,Protein Associated
226650,"Epidermolysis bullosa, generalized atrophic benign",LAMA3
226700,"Epidermolysis bullosa, junctional, Herlitz type",LAMA3
226700,"Epidermolysis bullosa, junctional, Herlitz type",LAMB3
226700,"Epidermolysis bullosa, junctional, Herlitz type",LAMC2
226650,"Epidermolysis bullosa, junctional, non-Herlitz type",COL17A1
226650,"Epidermolysis bullosa, junctional, non-Herlitz type",ITGB4
226650,"Epidermolysis bullosa, junctional, non-Herlitz type",LAMB3
226650,"Epidermolysis bullosa, junctional, non-Herlitz type",LAMC2
226730,"Epidermolysis bullosa, junctional, with pyloric atresia",ITGB4
226730,"Epidermolysis bullosa, junctional, with pyloric stenosis",ITGA6
609638,"Epidermolysis bullosa, lethal acantholytic",DSP
131850,"Epidermolysis bullosa, pretibial",COL7A1
113800,Epidermolytic hyperkeratosis,KRT1
113800,Epidermolytic hyperkeratosis,KRT10
144200,Epidermolytic palmoplantar keratoderma,KRT9
121201,"Epilepsy, benign neonatal, type 2",KCNQ3
121200,"Epilepsy, benign, neonatal, type 1",KCNQ2
300088,"Epilepsy, female-restricted, with mental retardation",PCDH19
604233,"Epilepsy, generalized, with febrile seizures plus, type 2",SCN1A
604233,"Epilepsy, generalized, with febrile seizures plus, type 3",GABRG2
613060,"Epilepsy, juvenile myoclonic, susceptibility to",GABRD
254780,"Epilepsy, myoclonic, Lafora type",EPM2A
254780,"Epilepsy, myoclonic, Lafora type",NHLRC1
300432,"Epilepsy, myoclonic, with mental retardation and spasticity",ARX
609304,"Epilepsy, neonatal myoclonic, with suppression-burst pattern",SLC25A22
600513,"Epilepsy, nocturnal frontal lobe, 1",CHRNA4
605375,"Epilepsy, nocturnal frontal lobe, 3",CHRNB2
610353,"Epilepsy, nocturnal frontal lobe, type 4",CHRNA2
600512,"Epilepsy, partial, with auditory features",LGI1
254800,"Epilepsy, progressive myoclonic 1",CSTB
612437,"Epilepsy, progressive myoclonic 1B",PRICKLE1
254780,"Epilepsy, progressive myoclonic 2B",NHLRC1
611726,"Epilepsy, progressive myoclonic 3",KCTD7
266100,"Epilepsy, pyridoxine-dependent",ALDH7A1
607208,"Epilepsy, severe myoclonic, of infancy",SCN1A
300491,"Epilepsy, X-linked, with variable learning disabilities and behavior disorders",SYN1
308350,"Epileptic encephalopathy, early infantile, 1",ARX
300672,"Epileptic encephalopathy, early infantile, 2",CDKL5
612164,"Epileptic encephalopathy, early infantile, 4",STXBP1
613477,"Epileptic encephalopathy, early infantile, 5",SPTAN1
606369,"Epileptic encephalopathy, Lennox-Gastaut type",MAPK10
132400,"Epiphyseal dysplasia, multiple 1",COMP
600204,"Epiphyseal dysplasia, multiple, 2",COL9A2
600969,"Epiphyseal dysplasia, multiple, 3",COL9A3
226900,"Epiphyseal dysplasia, multiple, 4",SLC26A2
607078,"Epiphyseal dysplasia, multiple, 5",MATN3
132450,"Epiphyseal dysplasia, multiple, with myopia and deafness",COL2A1
108500,"Episodic ataxia, type 2",CACNA1A
612656,"Episodic ataxia, type 6",SLC1A3
160120,Episodic ataxia/myokymia syndrome,KCNA1
153650,Epstein syndrome,MYH9
133020,"Erythermalgia, primary",SCN9A
245340,Erythrocyte lactate transporter defect,SLC16A1
609820,"Erythrocytosis, familial, 3",EGLN1
611783,"Erythrocytosis, familial, 4",EPAS1
133200,Erythrokeratodermia variabilis et progressiva,GJB3
133200,Erythrokeratodermia variabilis with erythema gyratum repens,GJB4
265000,Escobar syndrome,CHRNG
133239,Esophageal cancer,DLEC1
133239,"Esophageal cancer, somatic",TGFBR2
133239,"Esophageal carcinoma, somatic",RNF6
133239,Esophageal squamous cell carcinoma,40513
133239,Esophageal squamous cell carcinoma,LZTS1
133239,Esophageal squamous cell carcinoma,WWOX
602473,Ethylmalonic encephalopathy,ETHE1
612219,Ewing sarcoma,EWSR1
612714,"Exocrine pancreatic insufficiency, dyserythropoietic anemia, and calvarial hyperostosis",COX4I2
133700,"Exostoses, multiple, type 1",EXT1
133701,"Exostoses, multiple, type 2",EXT2
601813,Exudative vitreoretinopathy 4,LRP5
613310,Exudative vitreoretinopathy 5,TSPAN12
133780,Exudative vitreoretinopathy,FZD4
305390,"Exudative vitreoretinopathy, X-linked",NDP
301500,Fabry disease,GLA
301500,"Fabry disease, cardiac variant",GLA
227300,"Factor V and factor VIII, combined deficiency of",MCFD2
227400,Factor V deficiency,F5
612416,"Factor XI deficiency, autosomal dominant",F11
612416,"Factor XI deficiency, autosomal recessive",F11
234000,Factor XII deficiency,F12
613225,Factor XIIIA deficiency,F13A1
613235,Factor XIIIB deficiency,F13B
125350,"Failure of tooth eruption, primary",PTHR1
611762,Familial cold autoinflammatory syndrome 2,NALP12
134610,"Familial Mediterranean fever, AD",MEFV
249100,"Familial Mediterranean fever, AR",MEFV
613390,"Fanconi anemia, complementation group 0",RAD51C
227650,"Fanconi anemia, complementation group A",FANCA
300514,"Fanconi anemia, complementation group B",FAAP95
605724,"Fanconi anemia, complementation group D1",BRCA2
609053,"Fanconi anemia, complementation group I",FANCI
609054,"Fanconi anemia, complementation group J",BRIP1
610832,"Fanconi anemia, complementation group N",PALB2
613388,Fanconi renotubular syndrome 2,SLC34A1
227810,Fanconi–Bickel syndrome,SLC2A2
228000,Farber lipogranulomatosis,ASAH1
609016,"Fatty liver, acute, of pregnancy",HADHA
604403,"Febrile convulsions, familial, 3A",SCN1A
604403,"Febrile convulsions, familial, 3B",SCN9A
611277,"Febrilel, convulsions, familial",GABRG2
153640,Fechtner syndrome,MYH9
164280,Feingold syndrome,MYCN
228300,Fertile eunuch syndrome,GNRHR
208150,Fetal akinesia deformation sequence,DOK7
208150,Fetal akinesia deformation sequence,RAPSN
141749,Fetal hemoglobin quantitative trait locus 1,HBG1
141749,Fetal hemoglobin quantitative trait locus 1,HBG2
300321,FG syndrome 2,FLNA
300422,FG syndrome 4,CASK
135100,Fibrodysplasia ossificans progressiva,ACVR1
135300,"Fibromatosis, gingival",SOS1
135300,"Fibromatosis, gingival, 2",GINGF2
228600,"Fibromatosis, juvenile hyaline",ANTXR2
135700,"Fibrosis of extraocular muscles, congenital, 1",KIF21A
602078,"Fibrosis of extraocular muscles, congenital, 2",PHOX2A
600638,"Fibrosis of extraocular muscles, congenital, 3A",TUBB3
135700,"Fibrosis of extraocular muscles, congenital, 3B",KIF21A
228900,Fibular hypoplasia and complex brachydactyly,GDF5
136120,Fish-eye disease,LCAT
612423,Fletcher factor deficiency,KLKB1
607341,"Focal cortical dysplasia, Taylor balloon cell type",TSC1
305600,Focal dermal hypoplasia,PORCN
229050,"Folate malabsorption, hereditary",SLC46A1
229070,"Follicle-stimulating hormone deficiency, isolated",FSHB
136520,Foveal hyperplasia,PAX6
608161,"Foveomacular dystrophy, adult-onset, with choroidal neovascularization",PRPH2
300624,Fragile X syndrome,FMR1
300623,Fragile X tremor/ataxia syndrome,FMR1
249420,Frank–ter Haar syndrome,SH3PXD2B
219000,Fraser syndrome,FRAS1
219000,Fraser syndrome,FREM2
136680,Frasier syndrome,WT1
229300,Friedreich's ataxia with retained reflexes,FXN
229300,Friedreich's ataxia,FXN
305620,Frontometaphyseal dysplasia,FLNA
613451,Frontonasal dysplasia 2,ALX4
613456,Frontonasal dysplasia 3,ALX1
136760,Frontorhiny,ALX3
607485,Frontotemporal lobar degeneration with ubiquitin-positive inclusions,GRN
612069,"Frontotemporal lobar degeneration, TARDBP-related",TARDBP
229600,Fructose intolerance,ALDOB
229700,"Fructose-1,6-bisphosphatase deficiency",FBP1
230000,Fucosidosis,FUCA1
228930,Fuhrmann syndrome,WNT7A
606812,Fumarase deficiency,FH
136880,Fundus albipunctatus,RDH5
136880,Fundus albipunctatus,RLBP1
248200,Fundus flavimaculatus,ABCA4
613163,GABA-transaminase deficiency,ABAT
230200,Galactokinase deficiency with cataracts,GALK1
230350,Galactose epimerase deficiency,GALE
230400,Galactosemia,GALT
256540,Galactosialidosis,CTSA
600803,Gallbladder disease 1,ABCB4
611465,Gallbladder disease 4,ABCG8
612736,GAMT deficiency,GAMT
137215,"Gastric cancer, familial diffuse",CDH1
137215,"Gastric cancer, somatic",APC
137215,"Gastric cancer, somatic",CASP10
137215,"Gastric cancer, somatic",ERBB2
137215,"Gastric cancer, somatic",FGFR2
137215,"Gastric cancer, somatic",IRF1
137215,"Gastric cancer, somatic",KLF6
137215,"Gastric cancer, somatic",MUTYH
137215,"Gastric cancer, somatic",PIK3CA
606764,"Gastrointestinal stromal tumor, somatic",KIT
606764,"Gastrointestinal stromal tumor, somatic",PDGFRA
610539,"Gaucher disease, atypical",PSAP
608013,"Gaucher disease, perinatal lethal",GBA
230800,"Gaucher disease, type",GBA
230900,"Gaucher disease, type II",GBA
231000,"Gaucher disease, type III",GBA
231005,"Gaucher disease, type IIIC",GBA
607313,"Gaze palsy, horizontal, with progressive scoliosis",ROBO3
231050,Geleophysic dysplasia,ADAMTSL2
609446,Generalized epilepsy and paroxysmal dyskinesia,KCNMA1
604233,Generalized epilepsy with febrile seizures plus,SCN1B
273300,Germ cell tumors,KIT
231070,Geroderma osteodysplasticum,SCYL1BP1
137440,Gerstmann–Sträussler–Scheinker syndrome,PRNP
231095,Ghosal syndrome,TBXAS1
256850,Giant axonal neuropathy-1,GAN
206700,Gillespie syndrome,PAX6
263800,Gitelman syndrome,SLC12A3
273800,"Glanzmann thrombasthenia, type A",ITGA2B
613100,"Glaucoma 1, open angle, 1O",NTF4
137760,"Glaucoma 1, open angle, E",OPTN
609887,"Glaucoma 1, open angle, G",WDR36
137750,"Glaucoma 1A, primary open angle, juvenile-onset",MYOC
137760,"Glaucoma 1B, primary open angle, adult onset",GLC1B
613086,"Glaucoma 3, primary congenital, D",LTBP2
231300,"Glaucoma 3A, primary congenital",CYP1B1
137760,"Glaucoma, primary open angle, adult-onset",CYP1B1
137750,"Glaucoma, primary open angle, juvenile-onset",CYP1B1
137800,"Glioblastoma, somatic",ERBB2
102530,Globozoospermia,GOPC
102530,Globozoospermia,SPATA16
609886,Glomerulocystic kidney disease with hyperuricemia and isosthenuria,UMOD
601894,Glomerulopathy with fibronectin deposits 2,FN1
603278,"Glomerulosclerosis, focal segmental, 1",ACTN4
603965,"Glomerulosclerosis, focal segmental, 2",TRPC6
607832,"Glomerulosclerosis, focal segmental, 3",CD2AP
613237,"Glomerulosclerosis, focal segmental, 5",INF2
138000,Glomuvenous malformations,GLML
607398,Glucocorticoid deficiency 2,MRAP
202200,"Glucocorticoid deficiency, due to ACTH unresponsiveness",MC2R
606824,Glucose-galactose malabsorption,SLC5A1
606777,GLUT1 deficiency syndrome 1,SLC2A1
612126,GLUT1 deficiency syndrome 2,SLC2A1
229100,Glutamate formiminotransferase deficiency,FTCD
610015,"Glutamine deficiency, congenital",GLUL
231670,"Glutaricaciduria, type I",GCDH
231680,"Glutaricaciduria, type IIA",ETFA
231680,"Glutaricaciduria, type IIB",ETFB
231680,"Glutaricaciduria, type IIC",ETFDH
266130,Glutathione synthetase deficiency,GSS
307030,Glycerol kinase deficiency,GK
605899,Glycine encephalopathy,AMT
605899,Glycine encephalopathy,GCSH
605899,Glycine encephalopathy,GLDC
606664,Glycine N-methyltransferase deficiency,GNMT
611556,"Glycogen storage disease 0, muscle",GYS1
232220,Glycogen storage disease Ib,SLC37A4
232240,Glycogen storage disease Ic,SLC37A4
232240,Glycogen storage disease Ic,SLC17A3
232300,Glycogen storage disease II,GAA
300257,Glycogen storage disease IIb,LAMP2
232400,Glycogen storage disease IIIa,AGL
232400,Glycogen storage disease IIIb,AGL
232500,Glycogen storage disease IV,GBE1
613027,Glycogen storage disease IXc,PHKG2
261740,"Glycogen storage disease of heart, lethal congenital",PRKAG2
232800,Glycogen storage disease VII,PFKM
261670,Glycogen storage disease X,PGAM2
612933,Glycogen storage disease XI,LDHA
611881,Glycogen storage disease XII,ALDOA
612932,Glycogen storage disease XIII,ENO3
612934,Glycogen storage disease XIV,PGM1
613507,Glycogen storage disease XV,GYG1
240600,Glycogen storage disease type 0,GYS2
306000,"Glycogen storage disease, type IXa1",PHKA2
306000,"Glycogen storage disease, type IXa2",PHKA2
610293,Glycosylphosphatidylinositol deficiency,PIGM
230500,"GM1-gangliosidosis, type I",GLB1
230600,"GM1-gangliosidosis, type II",GLB1
230650,"GM1-gangliosidosis, type III",GLB1
272750,"GM2-gangliosidosis, AB variant",GM2A
272800,"GM2-gangliosidosis, several forms",HEXA
166260,Gnathodiaphyseal dysplasia,ANO5
609460,Goldberg–Shpritzen megacolon syndrome,KIAA1279
300661,"Gout, PRPS-related",PRPS1
603358,GRACILE syndrome,BCS1L
215140,Greenberg dysplasia,LBR
175700,Greig cephalopolysyndactyly syndrome,GLI3
214450,Griscelli syndrome type 1,MYO5A
607624,Griscelli syndrome type 2,RAB27A
609227,Griscelli syndrome type 3,MLPH
182230,Growth hormone deficiency with pituitary anomalies,HESX1
262400,"Growth hormone deficiency, isolated, type IA",GH1
612781,"Growth hormone deficiency, isolated, type IB",GH1
612781,"Growth hormone deficiency, isolated, type IB",GHRHR
173100,"Growth hormone deficiency, isolated, type II",GH1
245590,Growth hormone insensitivity with immunodeficiency,STAT5B
608747,Growth retardation with deafness and mental retardation due to IGF1 deficiency,IGF1
612938,"Growth retardation, developmental delay, coarse facies, and early death",FTO
176305,Guttmacher syndrome,HOXA13
258870,Gyrate atrophy of choroid and retina with or without ornithinemia,OAT
209880,Haddad syndrome,ASCL1
169600,Hailey–Hailey disease,ATP2C1
245010,Haim–Munk syndrome,CTSC
234100,Hallermann–Streiff syndrome,GJA1
140000,Hand-foot-uterus Syndrome,HOXA13
121300,Harderoporphyria,CPOX
607236,HARP syndrome,PANK2
234500,Hartnup disorder,SLC6A19
140350,Hawkinsinuria,HPD
106260,Hay–Wells syndrome,TP63
604091,"HDL deficiency, type 2",ABCA1
600965,"Hearing loss, low-frequency sensorineural",WFS1
113900,"Heart block, nonprogressive",SCN5A
113900,"Heart block, progressive, type IA",SCN5A
140700,Heinz body anemia,HBA2
140700,"Heinz body anemias, alpha-",HBA1
140700,"Heinz body anemias, beta-",HBB
609016,"HELLP syndrome, maternal, of pregnancy",HADHA
602089,"Hemangioma, capillary infantile, somatic",FLT4
602089,"Hemangioma, capillary infantile, somatic",KDR
162800,"Hematopoiesis, cyclic",ELANE
141200,"Hematuria, benign familial",COL4A3
141500,"Hemiplegic migraine, familial",CACNA1A
602390,"Hemochromatosis, type 2A",HJV
613313,"Hemochromatosis, type 2B",HAMP
604250,"Hemochromatosis, type 3",TFR2
606069,"Hemochromatosis, type 4",SLC40A1
612631,Hemolytic anemia due to adenylate kinase deficiency,AK1
230450,Hemolytic anemia due to gamma-glutamylcysteine synthetase deficiency,GCLC
231900,Hemolytic anemia due to glutathione synthetase deficiency,GSS
235700,Hemolytic anemia due to hexokinase deficiency,HK1
613470,"Hemolytic anemia, nonspherocytic, due to glucose phosphate isomerase deficiency",GPI
235400,"Hemolytic uremic syndrome, atypical, susceptibility to, 1",HF1
603553,"Hemophagocytic lymphohistiocytosis, familial, 2",PRF1
608898,"Hemophagocytic lymphohistiocytosis, familial, 3",UNC13D
603552,"Hemophagocytic lymphohistiocytosis, familial, 4",STX11
306900,Hemophilia B,F9
613490,Hemorrhagic diathesis due to \'antithrombin\' Pittsburgh,SERPINA1
604290,"Hemosiderosis, systemic, due to aceruloplasminemia",CP
235510,Hennekam lymphangiectasia-lymphedema syndrome,CCBE1
142330,Hepatic adenoma,HNF1A
235550,Hepatic venoocclusive disease with immunodeficiency,SP110
114550,Hepatocellular cancer,PDGFRL
114550,Hepatocellular carcinoma,CTNNB1
114550,Hepatocellular carcinoma,TP53
114550,"Hepatocellular carcinoma, childhood type",MET
114550,"Hepatocellular carcinoma, somatic",AXIN1
114550,"Hepatocellular carcinoma, somatic",CASP8
114550,"Hepatocellular carcinoma, somatic",PIK3CA
187300,Hereditary hemorrhagic telangiectasia-1,ENG
600376,Hereditary hemorrhagic telangiectasia-2,ACVRL1
601152,Hereditary motor and sensory neuropathy VI,MFN2
606071,"Hereditary motor and sensory neuropathy, type IIc",TRPV4
203300,Hermansky–Pudlak syndrome 1,HPS1
608233,Hermansky–Pudlak syndrome 2,AP3B1
203300,Hermansky–Pudlak syndrome 3,HPS3
203300,Hermansky–Pudlak syndrome 4,HPS4
203300,Hermansky–Pudlak syndrome 5,HPS5
203300,Hermansky–Pudlak syndrome 6,HPS6
203300,Hermansky–Pudlak syndrome 7,DTNBP1
203300,Hermansky–Pudlak syndrome 8,BLOC1S3
306955,"Heterotaxy, visceral, 1, S-linke",ZIC3
605376,"Heterotaxy, visceral, 2, autosomal",CFC1
270100,"Heterotaxy, visceral, 5",NODAL
300049,"Heterotopia, periventricular",FLNA
300537,"Heterotopia, periventricular, ED variant",FLNA
142623,Hirschsprung's disease,GDNF
142623,Hirschsprung's disease,RET
142623,"Hirschsprung disease, short-segment",PMX2B
612160,"Histiocytoma, angiomatoid fibrous, somatic",CREB1
605911,HMG-CoA synthase-2 deficiency,HMGCS2
236000,Hodgkin's lymphoma,KLHDC8B
253270,Holocarboxylase synthetase deficiency,HLCS
157170,Holoprosencephaly-2,SIX3
142945,Holoprosencephaly-3,SHH
142946,Holoprosencephaly-4,TGIF
609637,Holoprosencephaly-5,ZIC2
610828,Holoprosencephaly-7,PTCH1
610829,Holoprosencephaly-9,GLI2
142900,Holt-Oram syndrome,TBX5
236250,Homocystinuria due to MTHFR deficiency,MTHFR
236200,"Homocystinuria, B6-responsive and nonresponsive types",CBS
277410,"Homocystinuria, cblD type, variant 1",C2orf25
236270,"Homocystinuria-megaloblastic anemia, cbl E type",MTRR
300240,Hoyeraal-Hreidarsson syndrome,DKC1
300323,HPRT-related gout,HPRT1
143100,Huntington's disease,HTT
603218,Huntington disease-like 1,PRNP
606438,Huntington disease-like 2,JPH3
176670,Hutchinson–Gilford progeria syndrome,LMNA
236490,"Hyalinosis, infantile systemic",ANTXR2
231090,Hydatidiform mole,NALP7
300215,Hydranencephaly with abnormal genitalia,ARX
307000,Hydrocephalus due to aqueductal stenosis,L1CAM
307000,Hydrocephalus with congenital idiopathic intestinal pseudoobstruction,L1CAM
142623,Hydrocephalus with Hirschsprung disease and cleft palate,L1CAM
236680,Hydrolethalus syndrome,HYLS1
143470,Hyperalphalipoproteinemia,CETP
237900,"Hyperbilirubinemia, familial transcient neonatal",UGT1A1
115300,"Hypercarotenemia and vitamin A deficiency, autosomal dominant",BCMO1
607748,"Hypercholanemia, familial",BAAT
607748,"Hypercholanemia, familial",EPHX1
607748,"Hypercholanemia, familial",TJP2
144010,"Hypercholesterolemia, due to ligand-defective apo B",APOB
143890,"Hypercholesterolemia, familial",LDLR
603776,"Hypercholesterolemia, familial, 3",PCSK9
603813,"Hypercholesterolemia, familial, autosomal recessive",LDLRAP1
143890,"Hypercholesterolemia, familial, modification of",APOA2
144650,"Hyperchylomicronemia, late-onset",APOA5
300607,Hyperekplexia and epilepsy,ARHGEF9
149400,Hyperekplexia,GPHN
149400,Hyperekplexia,SLC6A5
149400,"Hyperekplexia, autosomal recessive",GLRB
607685,"Hypereosinophilic syndrome, idiopathic, resistant to imatinib",PDGFRA
600886,Hyperferritinemia-cataract syndrome,FTL
612348,"Hyperfibrinolysis, familial, due to increased release of PLAT",PLAT
138500,Hyperglycinuria,SLC36A2
138500,Hyperglycinuria,SLC6A19
138500,Hyperglycinuria,SLC6A20
260920,Hyper-IgD syndrome,MVK
147060,Hyper-IgE recurrent infection syndrome,STAT3
243700,"Hyper-IgE recurrent infection syndrome, autosomal recessive",DOCK8
256450,"Hyperinsulinemic hypoglycemia, familial, 1",ABCC8
601820,"Hyperinsulinemic hypoglycemia, familial, 2",KCNJ11
602485,"Hyperinsulinemic hypoglycemia, familial, 3",GCK
609975,"Hyperinsulinemic hypoglycemia, familial, 4",HADHSC
609968,"Hyperinsulinemic hypoglycemia, familial, 5",INSR
610021,"Hyperinsulinemic hypoglycemia, familial, 7",SLC16A1
606762,Hyperinsulinism-hyperammonemia syndrome,GLUD1
613345,"Hyperkalemic periodic paralysis, type 2",SCN4A
116860,Hyperkeratotic cutaneous capillary-venous malformations associated with cerebral capillary malformations,CCM1
207750,"Hyperlipoproteinemia, type Ib",APOC2
238700,Hyperlysinemia,AASS
250850,"Hypermethioninemia, persistent, autosomal dominant, due to methionine adenosyltransferase I/III deficiency",MAT1A
238970,Hyperornithinemia-hyperammonemia-homocitrullinemia syndrome,SLC25A15
144750,"Hyperostosis, endosteal",LRP5
259900,"Hyperoxaluria, primary, type 1",AGXT
260000,"Hyperoxaluria, primary, type II",GRHPR
613616,"Hyperoxaluria, primary, type III",DHDPSL
145000,"Hyperparathyroidism, AD",MEN1
145000,"Hyperparathyroidism, familial primary",HRPT2
239200,"Hyperparathyroidism, neonatal",CASR
145001,Hyperparathyroidism-jaw tumor syndrome,HRPT2
233910,"Hyperpehnylalaninemia, BH4-deficient, B",GCH1
261640,"Hyperphenylalaninemia, BH4-deficient, A",PTS
261630,"Hyperphenylalaninemia, BH4-deficient, C",QDPR
264070,"Hyperphenylalaninemia, BH4-deficient, D",PCBD
612391,"Hyperpigmentation, cutaneous, with hypertrichosis, hepatosplenomegaly, heart anomalies, hearing loss, and hypogonadism",SLC29A3
145250,"Hyperpigmentation, familial progressive",KITLG
239500,"Hyperprolinemia, type I",PRODH
239510,"Hyperprolinemia, type II",ALDH4A1
605115,"Hypertension, early-onset, autosomal dominant, with exacerbation in pregnancy",NR3C2
145500,"Hypertension, essential",PNMT
145500,"Hypertension, essential",AGTR1
145500,"Hypertension, essential",PTGIS
603373,"Hyperthyroidism, familial gestational",TSHR
609152,"Hyperthyroidism, nonautoimmune",TSHR
259100,"Hypertrophic osteoarthropathy, primary, autosomal recessive",HPGD
162000,"Hyperuricemic nephropathy, familial juvenile 1",UMOD
613092,"Hyperuricemic nephropathy, familial juvenile 2",REN
203400,"Hypoaldosteronism, congenital, due to CMO I deficiency",CYP11B2
610600,"Hypoaldosteronism, congenital, due to CMO II deficiency",CYP11B2
604091,Hypoalphalipoproteinemia,APOA1
146200,"Hypocalcemia, autosomal dominant",CASR
145980,"Hypocalciuric hypercalcemia, type I",CASR
146000,Hypochondroplasia,FGFR3
240800,"Hypoglycemia of infancy, leucine-sensitive",ABCC8
146110,"Hypogonadism, hypogonadotropic",PROK2
227200,Hypogonadotropic hypogonadism due to GNRH deficiency,GNRH1
146110,Hypogonadotropic hypogonadism,CHD7
146110,Hypogonadotropic hypogonadism,FGFR1
146110,Hypogonadotropic hypogonadism,KISS1R
146110,Hypogonadotropic hypogonadism,NELF
146110,Hypogonadotropic hypogonadism,TAC3
146110,Hypogonadotropic hypogonadism,TACR3
170400,Hypokalemic periodic paralysis type 1,CACNA1S
611718,"Hypomagnesemia 4, renal",EGF
602014,Hypomagnesemia with secondary hypocalcemia,TRPM6
248250,"Hypomagnesemia, primary",CLDN16
248190,"Hypomagnesemia, renal, with ocular involvement",CLDN19
154020,"Hypomagnesemia-2, renal",FXYD2
612949,"Hypomyelination, global cerebral",SLC25A12
146200,"Hypoparathyroidism, autosomal dominant",PTH
146200,"Hypoparathyroidism, autosomal recessive",PTH
146200,"Hypoparathyroidism, familial isolated",GCMB
146255,"Hypoparathyroidism, sensorineural deafness, and renal dysplasia",GATA3
241410,Hypoparathyroidism-retardation-dysmorphism syndrome,TBCE
146300,"Hypophosphatasia, adult",ALPL
241510,"Hypophosphatasia, childhood",ALPL
241500,"Hypophosphatasia, infantile",ALPL
307800,"Hypophosphatemia, X-linked",PHEX
241530,Hypophosphatemic rickets with hypercalciuria,SLC34A3
300554,Hypophosphatemic rickets,CLCN5
241520,"Hypophosphatemic rickets, AR",DMP1
193100,"Hypophosphatemic rickets, autosomal dominant",FGF23
613312,"Hypophosphatemic rickets, autosomal recessive, 2",ENPP1
241550,Hypoplastic left heart syndrome,GJA1
241600,"Hypoproteinemia, hypercatabolic",B2M
300633,"Hypospadias 1, X-linked",AR
300758,"Hypospadias 2, X-linked",MAMLD1
275100,"Hypothryoidism, congenital, nongoitrous 4",TSHB
225250,"Hypothyroidism, congenital nongoitrous, 5",NKX2E
218700,"Hypothyroidism, congenital, due to thyroid dysgenesis or hypoplasia",PAX8
275200,"Hypothyroidism, congenital, nongoitrous",TSHR
613102,Hypotrichosis and recurrent skin vesicles,DSC3
146520,Hypotrichosis simplex of scalp,CDSN
601553,"Hypotrichosis, congenital, with juvenile macular dystrophy",CDH3
146550,"Hypotrichosis, hereditary, Marie Unna type, 1",HR
604379,"Hypotrichosis, localized, autosomal recessive 2",LIPH
611452,"Hypotrichosis, localized, autosomal recessive, 3",P2RY5
607903,"Hypotrichosis, localized, autosomal recessive",DSG4
607823,Hypotrichosis-lymphedema-telangiectasia syndrome,SOX18
612076,"Hypouricemia, renal, 2",SLC2A9
220150,"Hypouricemia, renal",SLC22A12
602540,Hystrix-like ichthyosis with deafness,GJB2
242100,"Ichthyosiform erythroderma, congenital",TGM1
242100,"Ichthyosiform erythroderma, congenital, nonbullous, 1",ALOX12B
242100,"Ichthyosiform erythroderma, congenital, nonbullous, 1",ALOXE3
146800,Ichthyosis bullosa of Siemens,KRT2
308205,"Ichthyosis follicularis, atrichia, and photophobia syndrome",MBTPS2
600962,"Ichthyosis histrix, Curth-Macklin Palmoplantar keratoderma, nonepidermolytic",KRT1
608649,Ichthyosis prematurity syndrome,SLC27A4
146700,Ichthyosis vulgaris,FLG
609165,Ichthyosis with confetti,KRT10
610765,Ichthyosis with hypotrichosis,ST14
612281,"Ichthyosis, congenital, autosomal recessive",ICHYN
607602,"Ichthyosis, cyclic, with epidermolytic hyperkeratosis",KRT1
607602,"Ichthyosis, cyclic, with epidermolytic hyperkeratosis",KRT10
242500,"Ichthyosis, harlequin",ABCA12
601277,"Ichthyosis, lamellar 2",ABCA12
604777,"Ichthyosis, lamellar, 3",CYP4F22
242300,"Ichthyosis, lamellar, autosomal recessive",TGM1
607626,"Ichthyosis, leukocyte vacuoles, alopecia, and sclerosing cholangitis",CLDN1
308100,"Ichthyosis, x-linked",STS
242600,"Iminoglycinuria, digenic",SLC36A2
242600,"Iminoglycinuria, digenic",SLC6A19
242600,"Iminoglycinuria, digenic",SLC6A20
612782,Immune dysfunction with T-cell inactivation due to calcium entry defect 1,ORAI1
612783,"Immune dysfunction, with T-cell inactivation due to calcium entry defect 2",STIM1
610163,Immunodeficiency due to defect in CD3-zeta,CD247
610798,Immunodeficiency due to defect in MAPBP-interacting protein,MAPBPIP
613179,Immunodeficiency due to purine nucleoside phosphorylase deficiency,PNP
608106,"Immunodeficiency with hyper IgM, type 4",UNG
605258,"Immunodeficiency with hyper-IgM, type 2",AICDA
606843,"Immunodeficiency with hyper-IgM, type 3",TNFRSF5
607594,"Immunodeficiency, common variable, 1",ICOS
240500,"Immunodeficiency, common variable, 2",TNFRSF13B
613493,"Immunodeficiency, common variable, 3",CD19
613494,"Immunodeficiency, common variable, 4",TNFRSF13C
613495,"Immunodeficiency, common variable, 5",MS4A1
613496,"Immunodeficiency, common variable, 6",CD81
612692,"Immunodeficiency, hypogammaglobulinemia, and reduced B cells",CD79B
300584,"Immunodeficiency, isolated",IKBKG
308230,"Immunodeficiency, X-linked, with hyper-IgM",TNFSF5
242860,Immunodeficiency–centromeric instability–facial anomalies syndrome,DNMT3B
304790,"Immunodysregulation, polyendocrinopathy, and enteropathy, X-linked",FOXP3
609529,Immunoglobulin A deficiency 2,TNFRSF13B
167320,Inclusion body myopathy with early-onset Paget disease and frontotemporal dementia,VCP
600737,"Inclusion body myopathy, autosomal recessive",GNE
605637,Inclusion body myopathy-3,MYH2
308300,"Incontinentia pigmenti, type II",IKBKG
256600,Infantile neuroaxonal dystrophy 1,PLA2G6
612567,Inflammatory bowel disease 25,CRFB4
